"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.828242245E0,-1.020970056E-3,1.700000000E1,-3.773714006E-1,1.700418802E1
1.838242245E0,-6.643225788E-4,1.700000000E1,-3.922611773E-1,1.700452496E1
1.848242245E0,-3.247089335E-4,1.700000000E1,-4.036312997E-1,1.700479104E1
1.858242245E0,2.342162770E-5,1.700000000E1,-4.123973846E-1,1.700500137E1
1.868242245E0,3.736814251E-4,1.700000000E1,-4.191236496E-1,1.700516583E1
1.878242245E0,3.811337810E-4,1.700000000E1,-4.234385490E-1,1.700527272E1
1.888242245E0,3.864568716E-4,1.700000000E1,-4.266047478E-1,1.700535186E1
1.898242245E0,3.864568716E-4,1.700000000E1,-4.276491404E-1,1.700537809E1
1.908242245E0,3.758106905E-4,1.700000000E1,-4.282836318E-1,1.700539406E1
1.918242245E0,3.768753086E-4,1.700000000E1,-4.287723005E-1,1.700540637E1
1.928242245E0,3.821983992E-4,1.700000000E1,-4.285317063E-1,1.700540031E1
1.938242245E0,3.779399267E-4,1.700000000E1,-4.271359742E-1,1.700536519E1
1.948242245E0,3.704875708E-4,1.700000000E1,-4.266600907E-1,1.700535324E1
1.958242245E0,3.779399267E-4,1.700000000E1,-4.253027141E-1,1.700531924E1
1.968242245E0,3.864568716E-4,1.700000000E1,-4.242519140E-1,1.700529299E1
1.978242245E0,3.907153441E-4,1.700000000E1,-4.214019477E-1,1.700522213E1
1.988242245E0,3.896507260E-4,1.700000000E1,-4.244627357E-1,1.700529826E1
1.998242245E0,7.324581966E-4,1.700000000E1,-4.268751442E-1,1.700535865E1
2.008242245E0,1.086976496E-3,1.700000000E1,-4.265536368E-1,1.700535060E1
2.018242245E0,1.434042468E-3,1.700000000E1,-4.186030626E-1,1.700515306E1
2.028242245E0,1.776849967E-3,1.700000000E1,-4.050057232E-1,1.700482381E1
2.038242245E0,2.120722085E-3,1.700000000E1,-3.876183629E-1,1.700441862E1
2.048242245E0,2.121786587E-3,1.700000000E1,-3.658234775E-1,1.700393576E1
2.058242245E0,2.114334377E-3,1.700000000E1,-3.400948346E-1,1.700340169E1
2.068242245E0,2.121786587E-3,1.700000000E1,-3.118259907E-1,1.700285976E1
2.078242245E0,2.117528114E-3,1.700000000E1,-2.814342976E-1,1.700232954E1
2.088242245E0,2.115398878E-3,1.700000000E1,-2.467159778E-1,1.700179030E1
2.098242245E0,2.110075904E-3,1.700000000E1,-2.093968093E-1,1.700128970E1
2.108242245E0,2.122851321E-3,1.700000000E1,-1.700953245E-1,1.700085106E1
2.118242245E0,2.134562004E-3,1.700000000E1,-1.288125664E-1,1.700048815E1
2.128242245E0,2.129239030E-3,1.700000000E1,-8.839535713E-2,1.700022995E1
2.138242245E0,1.772591495E-3,1.700000000E1,-5.370366573E-2,1.700008492E1
2.148242245E0,1.427654759E-3,1.700000000E1,-2.116356976E-2,1.700001323E1
2.158242245E0,1.080588787E-3,1.700000000E1,7.633321919E-3,1.700000175E1
2.168242245E0,7.281997241E-4,1.700000000E1,3.395816684E-2,1.700003393E1
2.178242245E0,3.821983992E-4,1.700000000E1,5.835924670E-2,1.700010017E1
2.188242245E0,2.448624764E-5,1.700000000E1,8.153600991E-2,1.700019553E1
2.198242245E0,-3.364197619E-4,1.700000000E1,1.028965339E-1,1.700031140E1
2.208242245E0,-6.909380318E-4,1.700000000E1,1.229071245E-1,1.700044431E1
2.218242245E0,-1.042262418E-3,1.700000000E1,1.428389251E-1,1.700060011E1
2.228242245E0,-1.402103808E-3,1.700000000E1,1.595183313E-1,1.700074846E1
2.238242245E0,-1.749169780E-3,1.700000000E1,1.747785807E-1,1.700089852E1
2.248242245E0,-2.102623461E-3,1.700000000E1,1.887038052E-1,1.700104743E1
2.258242245E0,-2.456077142E-3,1.700000000E1,2.009990960E-1,1.700118839E1
2.268242245E0,-2.809530823E-3,1.700000000E1,2.109351903E-1,1.700130882E1
2.278242245E0,-3.155532060E-3,1.700000000E1,2.202793509E-1,1.700142738E1
2.288242245E0,-3.499404294E-3,1.700000000E1,2.284375280E-1,1.700153511E1
2.298242245E0,-3.853922477E-3,1.700000000E1,2.358430177E-1,1.700163630E1
2.308242245E0,-4.199923947E-3,1.700000000E1,2.415813208E-1,1.700171695E1
2.318242245E0,-4.556571599E-3,1.700000000E1,2.426118702E-1,1.700173171E1
2.328242245E0,-4.898314364E-3,1.700000000E1,2.390432656E-1,1.700168126E1
2.338242245E0,-5.237927660E-3,1.700000000E1,2.347528487E-1,1.700162158E1
2.348242245E0,-5.233669188E-3,1.700000000E1,2.286781371E-1,1.700153879E1
2.358242245E0,-4.874892533E-3,1.700000000E1,2.248923481E-1,1.700148818E1
2.368242245E0,-4.529955797E-3,1.700000000E1,2.236211896E-1,1.700147132E1
2.378242245E0,-4.173308145E-3,1.700000000E1,2.271780819E-1,1.700151838E1
2.388242245E0,-3.826242406E-3,1.700000000E1,2.328301519E-1,1.700159476E1
2.398242245E0,-3.481305670E-3,1.700000000E1,2.441843152E-1,1.700175397E1
2.408242245E0,-3.129981225E-3,1.700000000E1,2.605666816E-1,1.700199708E1
2.418242245E0,-2.781850751E-3,1.700000000E1,2.839191258E-1,1.700237095E1
2.428242245E0,-2.426267834E-3,1.700000000E1,3.132930398E-1,1.700288677E1
2.438242245E0,-2.067490947E-3,1.700000000E1,3.522623479E-1,1.700364940E1
2.448242245E0,-1.719360473E-3,1.700000000E1,4.013817608E-1,1.700473788E1
2.458242245E0,-1.375488355E-3,1.700000000E1,4.546489418E-1,1.700607855E1
2.468242245E0,-1.017776201E-3,1.700000000E1,5.128335953E-1,1.700773352E1
2.478242245E0,-6.760333781E-4,1.700000000E1,5.723000169E-1,1.700963044E1
2.488242245E0,-3.310966713E-4,1.700000000E1,6.348964572E-1,1.701185156E1
2.498242245E0,3.193858356E-5,1.700000000E1,6.930065751E-1,1.701411938E1
2.508242245E0,3.843276354E-4,1.700000000E1,7.490737438E-1,1.701649528E1
