"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.954529760E-1,-1.148986816E0,9.672027588E0,7.075500488E-1,9.765700970E0
6.979279760E-1,-1.132507324E0,9.603210449E0,6.683349609E-1,9.692827007E0
7.004029760E-1,-1.111999512E0,9.532348633E0,6.113586426E-1,9.616442833E0
7.028779760E-1,-1.062835693E0,9.482421875E0,5.702514648E-1,9.558824774E0
7.054029760E-1,-1.029571533E0,9.445434570E0,5.372619629E-1,9.516559367E0
7.078779760E-1,-9.891662598E-1,9.413696289E0,5.312194824E-1,9.480417810E0
7.103529760E-1,-9.251098633E-1,9.375030518E0,5.447387695E-1,9.436300429E0
7.128279760E-1,-8.515014648E-1,9.335113525E0,6.030883789E-1,9.393248366E0
7.153529760E-1,-7.862548828E-1,9.299255371E0,6.685180664E-1,9.356348839E0
7.178279760E-1,-7.220458984E-1,9.266693115E0,7.388000488E-1,9.324096583E0
7.203029760E-1,-6.782226562E-1,9.255279541E0,8.191223145E-1,9.316176615E0
7.227779760E-1,-6.402587891E-1,9.252624512E0,8.985900879E-1,9.318178782E0
7.252529760E-1,-5.982360840E-1,9.260955811E0,9.598999023E-1,9.329769384E0
7.277279760E-1,-5.471801758E-1,9.276824951E0,1.003540039E0,9.346977048E0
7.302029760E-1,-5.045166016E-1,9.308410645E0,1.036804199E0,9.379552691E0
7.327279760E-1,-4.872741699E-1,9.344451904E0,1.049926758E0,9.415867655E0
7.352029760E-1,-4.977416992E-1,9.370300293E0,1.064514160E0,9.443699740E0
7.376779760E-1,-5.085144043E-1,9.390777588E0,1.085479736E0,9.466971895E0
7.401529760E-1,-5.055236816E-1,9.412322998E0,1.122467041E0,9.492487065E0
7.426279760E-1,-5.112915039E-1,9.409027100E0,1.143829346E0,9.492078568E0
7.451029760E-1,-5.030822754E-1,9.397491455E0,1.200408936E0,9.487197639E0
7.475779760E-1,-5.005187988E-1,9.382171631E0,1.260375977E0,9.479673580E0
7.501029760E-1,-4.847717285E-1,9.366180420E0,1.349914551E0,9.475368520E0
7.525779760E-1,-4.558105469E-1,9.355407715E0,1.457519531E0,9.479228869E0
7.550529760E-1,-4.040222168E-1,9.365570068E0,1.569274902E0,9.504723056E0
7.575279760E-1,-3.388366699E-1,9.369720459E0,1.668029785E0,9.523066477E0
7.600029760E-1,-2.788085938E-1,9.359832764E0,1.751953125E0,9.526465417E0
7.624779760E-1,-2.201538086E-1,9.373107910E0,1.856597900E0,9.557749492E0
7.649529760E-1,-1.710205078E-1,9.371673584E0,1.931213379E0,9.570114884E0
7.674779760E-1,-1.390380859E-1,9.362335205E0,2.012939453E0,9.577294885E0
7.699529760E-1,-1.110229492E-1,9.363067627E0,2.077636719E0,9.591451184E0
7.724279760E-1,-7.296752930E-2,9.360839844E0,2.124145508E0,9.599095842E0
7.749029760E-1,-6.237792969E-2,9.356536865E0,2.154907227E0,9.601682054E0
7.773779760E-1,-4.434204102E-2,9.340667725E0,2.178894043E0,9.591538928E0
7.798529760E-1,-1.754760742E-2,9.348327637E0,2.205718994E0,9.605036898E0
7.823279760E-1,-1.580810547E-2,9.341461182E0,2.204528809E0,9.598077629E0
7.848529760E-1,-2.029418945E-2,9.345703125E0,2.209960938E0,9.603463235E0
7.873279760E-1,4.180908203E-3,9.362884521E0,2.203979492E0,9.618791486E0
7.898029760E-1,1.190185547E-3,9.372528076E0,2.196136475E0,9.626385582E0
7.922779760E-1,-2.099609375E-2,9.390960693E0,2.179504395E0,9.640582088E0
7.947529760E-1,-3.387451172E-2,9.413055420E0,2.174530029E0,9.661021720E0
7.972279760E-1,-6.884765625E-2,9.458282471E0,2.151794434E0,9.700209615E0
7.997029760E-1,-1.130676270E-1,9.490020752E0,2.132751465E0,9.727379245E0
8.022279760E-1,-1.395874023E-1,9.519104004E0,2.140655518E0,9.757829253E0
8.047029760E-1,-1.869201660E-1,9.549224854E0,2.146575928E0,9.789301439E0
