"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.199112044E0,-1.324599516E-2,-2.795722783E-1,-9.663412571E-1,1.006057424E0
1.209112044E0,-1.915569790E-2,-3.387576640E-1,-9.689932466E-1,1.026679895E0
1.219112044E0,-2.387941442E-2,-3.942286074E-1,-9.714131355E-1,1.048632396E0
1.229112044E0,-3.964642808E-2,-4.398603141E-1,-9.740693569E-1,1.069513930E0
1.239112044E0,-4.776415229E-2,-4.761372209E-1,-9.770023823E-1,1.087897846E0
1.249112044E0,-5.611928552E-2,-5.018307567E-1,-9.799854159E-1,1.102431357E0
1.259112044E0,-6.129972637E-2,-5.150437355E-1,-9.838297963E-1,1.112181988E0
1.269112044E0,-6.517706811E-2,-5.171942711E-1,-9.887483120E-1,1.117748267E0
1.279112044E0,-6.663560122E-2,-5.076158643E-1,-9.955639839E-1,1.119491766E0
1.289112044E0,-6.618952006E-2,-4.892778099E-1,-1.003708363E0,1.118572441E0
1.299112044E0,-6.250061840E-2,-4.483793974E-1,-1.013498545E0,1.110013383E0
1.309112044E0,-5.273805559E-2,-3.960384429E-1,-1.025805593E0,1.100865507E0
1.319112044E0,-4.358232766E-2,-3.348909616E-1,-1.038599133E0,1.092126154E0
1.329112044E0,-3.032355756E-2,-2.707135677E-1,-1.052665949E0,1.087341232E0
1.339112044E0,-1.690722257E-2,-2.066639364E-1,-1.066850901E0,1.086814925E0
1.349112044E0,-1.269026380E-2,-1.460987926E-1,-1.081141353E0,1.091041944E0
1.359112044E0,-8.526537567E-3,-9.029570222E-2,-1.094478846E0,1.098230376E0
1.369112044E0,-3.810273018E-3,-4.179057479E-2,-1.106757164E0,1.107552432E0
1.379112044E0,-8.623417671E-5,-2.458206378E-3,-1.116830587E0,1.116833296E0
1.389112044E0,4.947286565E-3,2.971353009E-2,-1.125583887E0,1.125986881E0
1.399112044E0,7.857955992E-3,5.206947401E-2,-1.131890655E0,1.133114924E0
1.409112044E0,6.792272441E-3,6.663133949E-2,-1.135996938E0,1.137969645E0
1.419112044E0,7.096753456E-3,7.180964947E-2,-1.137377739E0,1.139664473E0
1.429112044E0,7.405492943E-3,7.165101916E-2,-1.136944413E0,1.139223994E0
1.439112044E0,7.712103426E-3,5.261136591E-2,-1.135257006E0,1.136501606E0
1.449112044E0,1.114975940E-2,2.490677312E-2,-1.131059170E0,1.131388311E0
1.459112044E0,1.327899843E-2,-8.502051234E-3,-1.126897573E0,1.127007878E0
1.469112044E0,1.743633859E-2,-4.672721401E-2,-1.121665001E0,1.122773278E0
1.479112044E0,2.129771188E-2,-8.328411728E-2,-1.117031813E0,1.120334730E0
